Nev;Kategoria;Energia_kj;Energia_kcal;Feherje_g;Zsir_g;Szenhidrat_g
Kukoricapehely;Gabonafélék;1512;360;7.7;0.6;83
Különleges vagdalthús (150 g);Hús és húskészítmények;1605;385;19.5;30;9
Lajta sajt;Erjesztett tejtermékek;1529;364;22.6;29.7;1.6
Laskagomba, termesztett;Zöldség- és főzelékfélék, gyümölcsök;175;42;1.9;0.7;6
Lazac;Halak és halkészítmények;865;206;20;14;0
Lecsókolbász;Hús és húskészítmények;1142;273;16.3;22.9;0.3
Lekváros bukta;Kenyérfélék;1310;313;7.6;6.2;56.6
Lencse;Hüvelyesek;1393;333;26;1.9;53
Libahús, hízott;Hús és húskészítmények;1590;380;16;35;0.2
Libahús, pecsenye;Hús és húskészítmények;832;198;18.5;13.6;0.3
Libamáj;Hús és húskészítmények;1891;203;22.1;40.2;0.5
Libazsír;Zsiradékok;3736;893;0.5;99;0
Lóhús;Hús és húskészítmények;483;115;21.5;2.5;0.9
Luncheon meat;Hús és húskészítmények;1600;385;20.7;33;3
Mackó, Csárdás sajt;Erjesztett tejtermékek;1260;300;16.7;25;2
Májas hurka;Hús és húskészítmények;1247;298;14;23;8.7
Mák;Olajos magvak;2250;537;20.5;38.2;23.9
Málna;Zöldség- és főzelékfélék, gyümölcsök;117;28;1.2;0.8;5.4
Málnadzsem, üveges;Zöldség- és főzelékfélék, gyümölcsök;1075;255;0.5;0.5;63.3
Mandarin;Zöldség- és főzelékfélék, gyümölcsök;184;44;0.7;0.8;9.8
Mandula;Olajos magvak;2630;627;27.6;52.2;6.8
Mangold;Zöldség- és főzelékfélék, gyümölcsök;97;23;2.1;0.3;2.9
Margarin;Zsiradékok;3180;760;0.5;84;0.4
Marhahús, bélszín;Hús és húskészítmények;496;118;19;4.4;0.6
Marhahús, felsál;Hús és húskészítmények;974;232;17;19;0.6
Marhahús, hátszín, lapos;Hús és húskészítmények;958;226;16;19;0.6
Marhahús, hátszín, magas;Hús és húskészítmények;857;204;19;14;0.6
Marhahús, hátszín, puha;Hús és húskészítmények;1025;244;20;18;0.6
Marhalapocka;Hús és húskészítmények;596;142;21;6.2;0.6
Marhanyelv, borjúnyelv;Hús és húskészítmények;929;222;15.7;17.6;0.1
Marhapacal;Hús és húskészítmények;686;164;15.9;11.2;0
Marhaszegy;Hús és húskészítmények;1071;255;16;21;0.5
Marhaszív, borjúszív;Hús és húskészítmények;770;184;16.1;13.1;0.3
Marhatarja;Hús és húskészítmények;563;134;19;6.2;0.6
Marhatüdő, borjútüdő, sertéstüdő;Hús és húskészítmények;456;109;19.1;6.5;0
Mártott zselés ív;Édesipari termékek;1490;355;0.9;7.5;71.5
Márványsajt (rokfort);Erjesztett tejtermékek;1485;355;20;29.7;2
Márványsajt, vajas;Erjesztett tejtermékek;1900;455;11;45;1.3
Mazsola;Zöldség- és főzelékfélék, gyümölcsök;1159;276;2.4;6.7;65
Meggy;Zöldség- és főzelékfélék, gyümölcsök;213;51;0.8;1.4;11
Meggybefőtt;Zöldség- és főzelékfélék, gyümölcsök;370;90;0.6;1;20.8
Meggydzsem, üveges;Zöldség- és főzelékfélék, gyümölcsök;1195;285;0.4;0.7;70.3
Mese sajt;Erjesztett tejtermékek;1000;238;13.5;19.5;2
Méz;Édesipari termékek;1362;362;0.4;0;81
Mezei szegfűgomba;Zöldség- és főzelékfélék, gyümölcsök;139;33;4.2;0.9;1.9
Mini sajtos keksz;Édesipari termékek;2155;515;12.5;28.5;52
Mogyoró;Olajos magvak;2900;691;15.6;63.5;8.7
Mogyorós étcsokoládé;Édesipari termékek;2520;602;7.3;44.2;43.7
Nagy őzlábgomba;Zöldség- és főzelékfélék, gyümölcsök;168;40;4.9;1.3;1.8
Napraforgómag;Olajos magvak;2108;502;18.7;47.5;0
Napraforgóolaj, tökmagolaj, szójaolaj;Zsiradékok;3757;898;0;99.8;0
Narancs;Zöldség- és főzelékfélék, gyümölcsök;167;40;0.6;1.5;8.5
Naspolya;Zöldség- és főzelékfélék, gyümölcsök;222;53;0.6;1.1;12
Negró, töltött gyógycukorka;Édesipari termékek;1617;386;0;0;95
Nektarin;Zöldség- és főzelékfélék, gyümölcsök;202;48;0.4;0.5;11.4
Nyári vargánya;Zöldség- és főzelékfélék, gyümölcsök;160;38;6.4;0.8;1.3
Nyáriszalámi;Hús és húskészítmények;1209;289;15.2;25.2;0.3
Nyúlhús, házi;Hús és húskészítmények;661;158;21;8;0.4
Nyúlhús, vad;Hús és húskészítmények;435;104;23;1.1;0.5
Olajbogyó;Zöldség- és főzelékfélék, gyümölcsök;937;223;0.2;21.9;6.5
Olajoshal-konzerv;Tartósított élelmiszerek;1625;390;20.6;29.8;0.1
Olasz felvágott, mortadella;Hús és húskészítmények;1393;333;13.7;30.8;0.3
Óvári sajt;Erjesztett tejtermékek;1226;292;29.6;18.5;1.7
Őszibarack;Zöldség- és főzelékfélék, gyümölcsök;167;40;0.7;0.3;9
Őzhús;Hús és húskészítmények;427;102;20.8;1.9;0.4
Padlizsán;Zöldség- és főzelékfélék, gyümölcsök;105;25;1.3;0.2;4.8
Pálpusztai sajt;Erjesztett tejtermékek;1197;285;22.6;21;1.4
Pannónia sajt;Erjesztett tejtermékek;1604;382;27.8;29.4;1.5
Pápai sonkás felvágott;Hús és húskészítmények;1120;270;11;25;0
Pápai sonkás páros;Hús és húskészítmények;1400;335;12.3;32;0
Paprika, marinált;Zöldség- és főzelékfélék, gyümölcsök;120;30;0.6;1.8;1.5
Paprikás téliszalámi (Szegediner);Hús és húskészítmények;2010;480;24.5;42.6;0
Paprikás, erdélyi túrista felvágott;Hús és húskészítmények;1130;270;22.4;45;0
Paradicsom;Zöldség- és főzelékfélék, gyümölcsök;92;22;1;0.2;4
Paradicsompüré, sűrített;Zöldség- és főzelékfélék, gyümölcsök;460;110;5;1;20
Paraj (spenót);Zöldség- és főzelékfélék, gyümölcsök;75;18;2.3;0.3;1.8
Parenyica, füstölt sonkasajt;Erjesztett tejtermékek;1613;384;26;30.4;1.5
Párizsi, krinolin, szafaládé;Hús és húskészítmények;887;212;11.9;18.2;0.2
Parmezán (jellegű) sajt;Erjesztett tejtermékek;1570;374;26.8;28.9;1.6
Pászka (macesz);Kenyérfélék;1590;380;14.8;1.1;77.8
Pasztinák;Zöldség- és főzelékfélék, gyümölcsök;280;68;1.3;0.4;14.9
Patisszon;Zöldség- és főzelékfélék, gyümölcsök;126;30;1.2;0.1;6.2
Petrezselyemgyökér;Zöldség- és főzelékfélék, gyümölcsök;121;29;1.2;0.1;5.9
Petrezselyemzöld;Zöldség- és főzelékfélék, gyümölcsök;251;60;4.4;0.4;9.8
Pikniksonka;Hús és húskészítmények;535;130;18.5;6;0
Pisztráng;Halak és halkészítmények;452;113;21.5;2.9;0
Ponty;Halak és halkészítmények;420;100;16;4;0.1
Póréhagyma;Zöldség- és főzelékfélék, gyümölcsök;151;36;2.2;0.3;6.3
Poulard (kappan);Hús és húskészítmények;682;163;19.3;9.3;0.4
Pritamin;Zöldség- és főzelékfélék, gyümölcsök;240;55;3.4;0.8;8.6
Pudingpor, csokoládés;Édesipari termékek;1626;388;2.5;8.7;75
Pulykafelvágott;Hús és húskészítmények;630;150;20.6;7.5;0
Pulykahús;Hús és húskészítmények;708;169;20.5;9.5;0.4
Pulykajava;Hús és húskészítmények;460;110;24.1;1.5;0
Rebarbara;Zöldség- és főzelékfélék, gyümölcsök;67;16;0.6;0.1;3.3
